Cuidad/ metros m2,4 m2 (Base),6 m2 (+250.709),8 m2 (+502.043),10 m2 (+750.946),Flete y Montage,KM,Precio Final 4m2 (con IPC Feb + 3.75%)
Cap.Fed,"3,062,914","3,313,623","3,564,957","3,813,860",0,0,"3,288,806"
La plata,"3,640,234","3,890,943","4,142,277","4,391,180",577320,102,"3,908,582"
Rosario,"4,760,914","5,011,623","5,262,957","5,511,860",1698000,300,"5,111,834"
Partido de la Costa,"4,760,914","5,011,623","5,262,957","5,511,860",1698000,300,"5,111,834"
Mar del Plata,"5,326,914","5,577,623","5,828,957","6,077,860",2264000,400,"5,719,531"
Santa Fe,"5,892,914","6,143,623","6,394,957","6,643,860",2830000,500,"6,327,228"
Parana,"5,892,914","6,143,623","6,394,957","6,643,860",2830000,500,"6,327,228"
Cordoba,"7,307,914","7,558,623","7,809,957","8,058,860",4245000,750,"7,846,470"
San Luis,"7,590,914","7,841,623","8,092,957","8,341,860",4528000,800,"8,150,318"
Corrientes,"8,722,914","8,973,623","9224,957","9,473,860",5660000,1000,"9,365,711"
Posadas,"8,722,914","8,973,623","9,224,957","9,473,860",5660000,1000,"9,365,711"
Mendoza,"9,288,914","9,539,623","9,790,957","10,039,860",6226000,1100,"9,973,408"
Tucuman,"9,854,914","10,105,623","10,356,957","10,605,860",6792000,1200,"10,581,104"
Neuquen,"9,854,914","10,105,623","10,356,957","10,605,860",6792000,1200,"10,581,104"
Iguazu,"10,420,914","10,671,623","10,922,957","11,171,860",7358000,1300,"11,188,801"
Salta,"12,684,914","12,935,623","13,186,957","13,435,860",9622000,1700,"13,619,588"
Bariloche,"12,684,914","12,935,623","13,186,957","13,435,860",9622000,1700,"13,619,588"
Jujuy,"13,250,914","13,501,623","13,752,957","14,001,860",10188000,1800,"14,227,285"

EXTRAS,Precio Base,Precio Final (con IPC Feb + 3.75%)
Grafica en MDF (m2),"62,476","67,083"
Corporeo (m lineal),"124,509","133,690"
Piso melamina (m2),"65,990","70,856"
Alfombra (m2),"26,034","27,954"
TV 42 (dia),"129,654","139,214"
TV 50 (dia),"187,278","201,081"
TV 70 (dia),"249,018","267,379"

* Nota: El calculo del Precio Final asume un IPC de Febrero estimado del 3.5% + el recargo del 3.75% solicitado.
